"Id","Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Cover_Type","Soil","Wilderness"
1,0.36908358509567,0.141666666666667,0.0576923076923077,0.19210722263589,0.208571428571429,0.0740203193033382,0.87007874015748,0.841726618705036,0.595141700404858,0.897897897897898,5,29,1
2,0.366062437059416,0.155555555555556,0.0384615384615385,0.157855547282204,0.2,0.0566037735849057,0.866141732283465,0.863309352517986,0.607287449392713,0.89017589017589,5,29,1
3,0.473816717019134,0.386111111111111,0.173076923076923,0.199553239017126,0.301428571428571,0.461538461538462,0.921259842519685,0.884892086330935,0.54251012145749,0.875303875303875,2,12,1
4,0.464249748237664,0.430555555555556,0.346153846153846,0.180193596425912,0.377142857142857,0.448476052249637,0.937007874015748,0.884892086330935,0.489878542510121,0.888173888173888,2,30,1
5,0.368580060422961,0.125,0.0384615384615385,0.113924050632911,0.207142857142857,0.0567489114658926,0.866141732283465,0.856115107913669,0.603238866396761,0.882596882596883,5,29,1
6,0.360523665659617,0.366666666666667,0.115384615384615,0.223380491437081,0.187142857142857,0.00972423802612482,0.905511811023622,0.877697841726619,0.562753036437247,0.862433862433862,2,29,1
7,0.374118831822759,0.125,0.134615384615385,0.201042442293373,0.215714285714286,0.0918722786647315,0.874015748031496,0.79136690647482,0.554655870445344,0.894608894608895,5,29,1
8,0.37361530715005,0.136111111111111,0.0769230769230769,0.174236783320923,0.218571428571429,0.0831640058055152,0.874015748031496,0.827338129496403,0.578947368421053,0.890604890604891,5,29,1
9,0.379657603222558,0.125,0.173076923076923,0.178704393149665,0.288571428571429,0.0966618287373004,0.877952755905512,0.762589928057554,0.534412955465587,0.892892892892893,5,29,1
10,0.377139979859013,0.163888888888889,0.192307692307692,0.18391660461653,0.224285714285714,0.0923076923076923,0.897637795275591,0.748201438848921,0.497975708502024,0.890890890890891,5,29,1
11,0.377139979859013,0.558333333333333,0.0769230769230769,0.134028294862249,0.281428571428571,0.106676342525399,0.858267716535433,0.920863309352518,0.647773279352227,0.88974688974689,5,18,1
12,0.515105740181269,0.419444444444444,0.211538461538462,0.276247207743857,0.245714285714286,0.762409288824383,0.921259842519685,0.899280575539568,0.546558704453441,0.579293579293579,2,30,1
13,0.442598187311178,0.372222222222222,0.423076923076923,0.111690245718541,0.307142857142857,0.466618287373004,0.976377952755906,0.784172661870504,0.368421052631579,0.871013871013871,2,30,1
14,0.375629405840886,0.594444444444444,0.134615384615385,0.111690245718541,0.274285714285714,0.111901306240929,0.838582677165354,0.949640287769784,0.684210526315789,0.888173888173888,5,18,1
15,0.322255790533736,0.436111111111111,0.0769230769230769,0.0498883097542815,0.214285714285714,0.0978229317851959,0.881889763779528,0.899280575539568,0.607287449392713,0.800800800800801,5,18,1
16,0.318227593152064,0.141666666666667,0.134615384615385,0.0312732688011914,0.211428571428571,0.109143686502177,0.881889763779528,0.79136690647482,0.550607287449393,0.797368797368797,5,16,1
17,0.376132930513595,0.719444444444444,0.0192307692307692,0.0893521965748325,0.207142857142857,0.0880986937590711,0.850393700787402,0.892086330935252,0.647773279352227,0.871728871728872,5,29,1
18,0.329305135951662,0.2,0.134615384615385,0.0632911392405063,0.217142857142857,0.0863570391872279,0.897637795275591,0.805755395683453,0.534412955465587,0.801801801801802,5,18,1
19,0.322759315206445,0,0.0769230769230769,0.0707371556217424,0.215714285714286,0.100290275761974,0.84251968503937,0.841726618705036,0.62753036437247,0.796796796796797,5,18,1
20,0.322255790533736,0.105555555555556,0.0961538461538462,0.0632911392405063,0.222857142857143,0.107547169811321,0.866141732283465,0.81294964028777,0.578947368421053,0.794365794365794,5,18,1
21,0.321248741188318,0.197222222222222,0.173076923076923,0.0446760982874162,0.22,0.111320754716981,0.905511811023622,0.776978417266187,0.506072874493927,0.793221793221793,5,18,1
22,0.512084592145015,0.580555555555556,0.326923076923077,0.160833953834698,0.251428571428571,0.723657474600871,0.811023622047244,0.992805755395683,0.720647773279352,0.618189618189618,2,30,1
23,0.455689828801611,0.316666666666667,0.442307692307692,0.142963514519732,0.325714285714286,0.484615384615385,0.992125984251969,0.676258992805755,0.283400809716599,0.853996853996854,5,30,1
24,0.326283987915408,0.15,0.153846153846154,0.0923306031273269,0.208571428571429,0.0925979680696662,0.885826771653543,0.76978417266187,0.522267206477733,0.796367796367796,5,18,1
